docnumber,customerref_value,client_name,txndate,fees_billed,costs_billed,write_down_amount,write_off_amount,total_invoice,payment_received,payment_date,outstanding_balance,total_amt,line_amount
INV-2024-0165,M-2024-0023,Pinewood Group Inc.,2024-11-07,33305.0,90,770.93,0.0,32624.07,32624.07,2024-11-27,0.0,32624.07,32624.07
INV-2024-0166,M-2024-0028,Bristol Beverages Inc.,2024-11-07,5280.0,20,136.29,0.0,5163.71,5163.71,2024-12-08,0.0,5163.71,5163.71
INV-2024-0167,M-2024-0002,Pendleton Holdings LLC,2024-11-08,22800.5,100,1166.63,0.0,21733.87,21733.87,2024-12-16,0.0,21733.87,21733.87
INV-2024-0168,M-2024-0007,Allerton Pharmaceuticals LLC,2024-11-08,60548.0,340,6154.5,7182.69,47550.81,0.0,,47550.81,47550.81,47550.81
INV-2024-0169,M-2024-0034,Larkspur Properties Inc.,2024-11-08,57170.0,200,3305.5,0.0,54064.5,54064.5,2024-12-05,0.0,54064.5,54064.5
INV-2024-0170,M-2024-0022,Apex Robotics Inc.,2024-11-11,56690.0,230,7219.57,0.0,49700.43,49700.43,2024-11-18,0.0,49700.43,49700.43
INV-2024-0171,M-2024-0026,Riverstone Partners LLC,2024-11-11,60010.0,140,5530.7,0.0,54619.3,0.0,,54619.3,54619.3,54619.3
INV-2024-0172,M-2024-0036,Robert and Sarah Murphy,2024-11-11,4500.00,456.12,0.0,0.0,4956.12,4956.12,2024-12-06,0.00,4956.12,4956.12
INV-2024-0173,M-2024-0005,Bayshore Logistics Corporation,2024-11-12,9455.0,120,889.15,0.0,8685.85,8685.85,2024-12-11,0.0,8685.85,8685.85
INV-2024-0174,M-2024-0010,Mariposa Vineyards LLC,2024-11-12,9387.5,150,1146.77,0.0,8390.73,8390.73,2024-12-27,0.0,8390.73,8390.73
INV-2024-0175,M-2024-0035,Eastgate Plaza Development LLC,2024-11-12,69137.5,80,7907.93,0.0,61309.57,61309.57,2024-11-28,0.0,61309.57,61309.57
INV-2024-0176,M-2024-0006,Vertex Technologies Inc.,2024-11-13,8575.0,30,217.16,0.0,8387.84,8387.84,2024-12-27,0.0,8387.84,8387.84
INV-2024-0177,M-2024-0009,Northbridge Insurance Group,2024-11-13,22210.0,370,3683.48,0.0,18896.52,18896.52,2024-12-02,0.0,18896.52,18896.52
INV-2024-0178,M-2024-0011,Hartwell Construction Inc.,2024-11-13,6572.0,70,1580.81,368.59,4692.6,0.0,,4692.6,4692.6,4692.6
INV-2024-0179,M-2024-0014,Westhampton Real Estate Partners LP,2024-11-13,13428.0,50,2838.84,0.0,10639.16,10639.16,2024-12-06,0.0,10639.16,10639.16
INV-2024-0180,M-2024-0021,Greystone Ventures LLC,2024-11-13,11460.0,10,219.63,0.0,11250.37,11250.37,2024-12-23,0.0,11250.37,11250.37
INV-2024-0181,M-2024-0024,Sandstone Energy LLC,2024-11-13,28870.0,100,1257.79,0.0,27712.21,27712.21,2024-12-30,0.0,27712.21,27712.21
INV-2024-0182,M-2024-0033,Brookline Commercial Holdings LLC,2024-11-13,64817.5,60,4707.5,0.0,60170.0,41935.09,2024-12-21,18234.91,60170.0,60170.0
INV-2024-0183,M-2024-0029,Highline Studios LLC,2024-11-13,20000.00,396.31,0.0,0.0,20396.31,0.00,,20396.31,20396.31,20396.31
INV-2024-0184,M-2024-0038,Amir Hassan,2024-11-22,4500.00,499.85,0.0,0.0,4999.85,4999.85,2024-12-20,0.00,4999.85,4999.85
INV-2024-0185,M-2024-0005,Bayshore Logistics Corporation,2024-12-04,13038.5,100,1226.14,0.0,11912.36,11912.36,2024-12-19,0.0,11912.36,11912.36
INV-2024-0186,M-2024-0012,Coastal Networks Inc.,2024-12-04,6553.0,0,357.89,0.0,6195.11,0.0,,6195.11,6195.11,6195.11
INV-2024-0187,M-2024-0013,Pinnacle Therapeutics Inc.,2024-12-04,23395.0,30,1453.54,0.0,21971.46,0.0,,21971.46,21971.46,21971.46
INV-2024-0188,M-2024-0022,Apex Robotics Inc.,2024-12-04,45270.0,250,5765.21,0.0,39754.79,0.0,,39754.79,39754.79,39754.79
INV-2024-0189,M-2024-0033,Brookline Commercial Holdings LLC,2024-12-04,40970.0,90,2975.53,0.0,38084.47,0.0,,38084.47,38084.47,38084.47
INV-2024-0190,M-2024-0035,Eastgate Plaza Development LLC,2024-12-04,45790.0,20,5237.45,0.0,40572.55,0.0,,40572.55,40572.55,40572.55
INV-2024-0191,M-2024-0001,TechVista Industries Inc.,2024-12-05,22745.0,160,2093.95,0.0,20811.05,0.0,,20811.05,20811.05,20811.05
INV-2024-0192,M-2024-0002,Pendleton Holdings LLC,2024-12-05,17921.0,150,916.96,0.0,17154.04,0.0,,17154.04,17154.04,17154.04
INV-2024-0193,M-2024-0010,Mariposa Vineyards LLC,2024-12-05,5722.5,140,699.06,0.0,5163.44,5163.44,2024-12-29,0.0,5163.44,5163.44
INV-2024-0194,M-2024-0011,Hartwell Construction Inc.,2024-12-05,6395.5,80,1538.36,0.0,4937.14,0.0,,4937.14,4937.14,4937.14
INV-2024-0195,M-2024-0020,Cascade Foods Holdings Inc.,2024-12-05,32077.5,470,4059.59,0.0,28487.91,0.0,,28487.91,28487.91,28487.91
INV-2024-0196,M-2024-0024,Sandstone Energy LLC,2024-12-05,19715.0,120,858.93,0.0,18976.07,0.0,,18976.07,18976.07,18976.07
INV-2024-0197,M-2024-0027,Calderon Family Office,2024-12-05,5377.5,60,527.59,0.0,4909.91,0.0,,4909.91,4909.91,4909.91
INV-2024-0198,M-2024-0028,Bristol Beverages Inc.,2024-12-05,12552.5,80,324.01,0.0,12308.49,0.0,,12308.49,12308.49,12308.49
INV-2024-0199,M-2024-0034,Larkspur Properties Inc.,2024-12-05,30010.0,0,1735.14,0.0,28274.86,0.0,,28274.86,28274.86,28274.86
INV-2024-0200,M-2024-0006,Vertex Technologies Inc.,2024-12-06,6734.0,120,170.54,0.0,6683.46,0.0,,6683.46,6683.46,6683.46
INV-2024-0201,M-2024-0023,Pinewood Group Inc.,2024-12-06,20620.0,130,477.31,0.0,20272.69,20272.69,2024-12-30,0.0,20272.69,20272.69
INV-2024-0202,M-2024-0032,Stellar Energy Holdings LLC,2024-12-06,250000.00,439.69,0.0,0.0,250439.69,137934.70,2024-12-31,112504.99,250439.69,250439.69
INV-2024-0203,M-2024-0039,Glenview Retail Partners LLC,2024-12-06,50000.00,473.17,0.0,0.0,50473.17,0.00,,50473.17,50473.17,50473.17
INV-2024-0204,M-2024-0015,Garrison Industries LLC,2024-12-09,35579.5,290,2341.76,0.0,33527.74,33527.74,2024-12-29,0.0,33527.74,33527.74
INV-2024-0205,M-2024-0019,Lumina Capital Inc.,2024-12-09,16387.5,170,1834.02,0.0,14723.48,0.0,,14723.48,14723.48,14723.48
INV-2024-0206,M-2024-0026,Riverstone Partners LLC,2024-12-09,53145.0,240,4898.0,0.0,48487.0,48487.0,2024-12-30,0.0,48487.0,48487.0
INV-2024-0207,M-2024-0014,Westhampton Real Estate Partners LP,2024-12-10,11958.0,20,2528.07,0.0,9449.93,0.0,,9449.93,9449.93,9449.93
INV-2024-0208,M-2024-0021,Greystone Ventures LLC,2024-12-10,12000.0,40,229.98,0.0,11810.02,11810.02,2024-12-18,0.0,11810.02,11810.02
INV-2024-0209,M-2024-0004,Harrington Aerospace Inc.,2024-12-11,9076.0,120,2261.01,0.0,6934.99,0.0,,6934.99,6934.99,6934.99
INV-2024-0210,M-2024-0009,Northbridge Insurance Group,2024-12-11,19212.5,0,3186.35,0.0,16026.15,8773.31,2024-12-31,7252.84,16026.15,16026.15
INV-2024-0211,M-2024-0003,Crestwood Capital Partners LP,2024-12-12,43344.5,410,5546.5,0.0,38208.0,0.0,,38208.0,38208.0,38208.0
INV-2024-0212,M-2024-0007,Allerton Pharmaceuticals LLC,2024-12-12,54316.0,400,5521.04,0.0,49194.96,0.0,,49194.96,49194.96,49194.96
INV-2024-0213,M-2024-0008,Cardinal Resources Inc.,2024-12-12,52829.0,290,2308.31,0.0,50810.69,0.0,,50810.69,50810.69,50810.69
INV-2024-0214,M-2024-0025,Vanguard Healthcare Inc.,2024-12-12,14860.0,60,423.1,0.0,14496.9,0.0,,14496.9,14496.9,14496.9
INV-2024-0215,M-2024-0040,Chidi and Adaeze Okonkwo,2024-12-16,4500.00,443.83,0.0,0.0,4943.83,0.00,,4943.83,4943.83,4943.83
INV-2024-0216,M-2024-0001,TechVista Industries Inc.,2024-12-31,10050.0,240,925.22,0.0,9364.78,0.0,,9364.78,9364.78,9364.78
INV-2024-0217,M-2024-0002,Pendleton Holdings LLC,2024-12-31,13854.5,260,708.89,0.0,13405.61,0.0,,13405.61,13405.61,13405.61
INV-2024-0218,M-2024-0003,Crestwood Capital Partners LP,2024-12-31,53305.5,220,6821.14,0.0,46704.36,0.0,,46704.36,46704.36,46704.36
INV-2024-0219,M-2024-0004,Harrington Aerospace Inc.,2024-12-31,11482.0,370,2860.39,0.0,8991.61,0.0,,8991.61,8991.61,8991.61
INV-2024-0220,M-2024-0005,Bayshore Logistics Corporation,2024-12-31,15240.0,80,1433.17,0.0,13886.83,0.0,,13886.83,13886.83,13886.83
INV-2024-0221,M-2024-0006,Vertex Technologies Inc.,2024-12-31,7777.5,50,196.96,0.0,7630.54,0.0,,7630.54,7630.54,7630.54
INV-2024-0222,M-2024-0007,Allerton Pharmaceuticals LLC,2024-12-31,55089.5,1020,5599.66,0.0,50509.84,0.0,,50509.84,50509.84,50509.84
INV-2024-0223,M-2024-0008,Cardinal Resources Inc.,2024-12-31,48229.5,640,2107.34,0.0,46762.16,0.0,,46762.16,46762.16,46762.16
INV-2024-0224,M-2024-0009,Northbridge Insurance Group,2024-12-31,17692.0,0,2934.18,0.0,14757.82,0.0,,14757.82,14757.82,14757.82
INV-2024-0225,M-2024-0010,Mariposa Vineyards LLC,2024-12-31,4756.0,120,580.99,0.0,4295.01,0.0,,4295.01,4295.01,4295.01
INV-2024-0226,M-2024-0011,Hartwell Construction Inc.,2024-12-31,10355.0,60,2490.76,897.44,7026.8,0.0,,7026.8,7026.8,7026.8
INV-2024-0227,M-2024-0012,Coastal Networks Inc.,2024-12-31,6555.5,30,358.02,0.0,6227.48,0.0,,6227.48,6227.48,6227.48
INV-2024-0228,M-2024-0013,Pinnacle Therapeutics Inc.,2024-12-31,32726.5,70,2033.31,0.0,30763.19,0.0,,30763.19,30763.19,30763.19
INV-2024-0229,M-2024-0014,Westhampton Real Estate Partners LP,2024-12-31,7682.5,40,1624.17,0.0,6098.33,0.0,,6098.33,6098.33,6098.33
INV-2024-0230,M-2024-0015,Garrison Industries LLC,2024-12-31,20597.5,280,1355.68,0.0,19521.82,0.0,,19521.82,19521.82,19521.82
INV-2024-0231,M-2024-0019,Lumina Capital Inc.,2024-12-31,27582.5,60,3086.92,0.0,24555.58,0.0,,24555.58,24555.58,24555.58
INV-2024-0232,M-2024-0020,Cascade Foods Holdings Inc.,2024-12-31,55780.0,380,7059.28,0.0,49100.72,0.0,,49100.72,49100.72,49100.72
INV-2024-0233,M-2024-0021,Greystone Ventures LLC,2024-12-31,9865.0,110,189.06,0.0,9785.94,0.0,,9785.94,9785.94,9785.94
INV-2024-0234,M-2024-0022,Apex Robotics Inc.,2024-12-31,35805.0,260,4559.83,0.0,31505.17,0.0,,31505.17,31505.17,31505.17
INV-2024-0235,M-2024-0023,Pinewood Group Inc.,2024-12-31,12147.5,30,281.19,0.0,11896.31,0.0,,11896.31,11896.31,11896.31
INV-2024-0236,M-2024-0024,Sandstone Energy LLC,2024-12-31,27045.0,90,1178.28,0.0,25956.72,0.0,,25956.72,25956.72,25956.72
INV-2024-0237,M-2024-0025,Vanguard Healthcare Inc.,2024-12-31,14065.0,0,400.46,0.0,13664.54,0.0,,13664.54,13664.54,13664.54
INV-2024-0238,M-2024-0026,Riverstone Partners LLC,2024-12-31,48645.0,390,4483.27,0.0,44551.73,0.0,,44551.73,44551.73,44551.73
INV-2024-0239,M-2024-0027,Calderon Family Office,2024-12-31,12565.0,0,1232.75,0.0,11332.25,0.0,,11332.25,11332.25,11332.25
INV-2024-0240,M-2024-0028,Bristol Beverages Inc.,2024-12-31,3430.0,70,88.54,0.0,3411.46,0.0,,3411.46,3411.46,3411.46
INV-2024-0241,M-2024-0033,Brookline Commercial Holdings LLC,2024-12-31,28505.0,50,2070.23,0.0,26484.77,0.0,,26484.77,26484.77,26484.77
INV-2024-0242,M-2024-0034,Larkspur Properties Inc.,2024-12-31,25480.0,140,1473.22,0.0,24146.78,0.0,,24146.78,24146.78,24146.78
INV-2024-0243,M-2024-0035,Eastgate Plaza Development LLC,2024-12-31,54600.0,30,6245.13,0.0,48384.87,0.0,,48384.87,48384.87,48384.87
